Ticker,Ensemble_Score,XGBoost_Prob,LSTM_Prob,Both_Bullish,RSI_14,Return_20d,Volatility_20d
CHD,0.6307,0.5765,0.586,True,1.0,100.25,-28.1707
PEP,0.6302,0.7155,0.526,False,-0.5,-44.33,-52.2495
AFL,0.6298,0.6986,0.5457,False,1.4,85.45,-75.886
AIG,0.6295,0.6011,0.5532,True,0.3,-9.67,-70.2249
HST,0.6288,0.5943,0.5597,True,0.2,56.35,-48.105
TJX,0.6267,0.5859,0.5654,True,1.8,112.51,-85.2684
EXPD,0.6258,0.6905,0.5467,False,0.1,1.09,-73.8077
EXE,0.6257,0.5723,0.5797,True,1.2,183.76,28.5457
DPZ,0.6256,0.5656,0.5877,True,0.3,154.92,13.4924
ALLE,0.6249,0.6886,0.547,False,-0.8,-15.06,-87.7579
O,0.6244,0.6887,0.5459,False,-0.0,-49.99,-60.7912
PEG,0.6238,0.589,0.5551,True,1.9,39.92,30.8713
PFG,0.6234,0.5831,0.5616,True,0.3,42.58,-35.9514
IBKR,0.6232,0.5803,0.5645,True,1.9,278.03,120.8023
CPRT,0.6228,0.5678,0.579,True,1.4,251.23,98.8924
CNP,0.6224,0.5815,0.5614,True,1.5,108.42,-11.4668
HIG,0.622,0.5839,0.5574,True,1.2,113.79,-42.5588
MET,0.6219,0.5893,0.5505,True,2.1,133.41,8.2557
RSG,0.6215,0.5746,0.5678,True,0.7,97.06,-76.2625
VTRS,0.6215,0.681,0.5486,False,0.1,140.34,173.5676
MAA,0.6209,0.691,0.5351,False,0.6,75.77,-47.5012
PNW,0.62,0.6979,0.5247,False,0.3,68.14,-24.7655
LOW,0.6193,0.6847,0.5394,False,-0.2,22.95,16.7454
TPR,0.619,0.5621,0.5775,True,1.4,347.93,169.1006
UPS,0.6189,0.5656,0.5729,True,0.3,4.26,-34.5091
PSA,0.6189,0.7008,0.5189,False,0.3,43.52,18.5024
DOW,0.6181,0.7262,0.4859,False,-0.9,-133.44,2.0849
TEL,0.6181,0.7025,0.5149,False,-0.7,9.88,-21.0865
XYZ,0.6179,0.562,0.5752,True,0.9,242.66,247.4508
CAH,0.6179,0.6924,0.5267,False,-0.0,125.61,70.8943
EG,0.6179,0.5517,0.5878,True,1.1,88.66,-39.5126
NWSA,0.6169,0.6844,0.5344,False,-0.4,66.64,-43.9867
MDLZ,0.6168,0.6888,0.5288,False,-0.9,-86.99,-60.3646
DD,0.6159,0.678,0.5399,False,-0.3,-11.3,-2.8647
AJG,0.6146,0.5705,0.5575,True,1.1,106.44,-66.8123
ACGL,0.6132,0.5615,0.5652,True,0.8,63.8,15.3291
MMM,0.6123,0.73,0.4684,False,-0.3,28.24,2.6782
SPY,0.6122,0.5698,0.5529,True,0.1,45.82,-99.7919
OKE,0.6107,0.6725,0.5351,False,0.6,195.21,44.5255
SRE,0.6105,0.6663,0.5423,False,0.4,122.17,35.3035
GEHC,0.6104,0.6742,0.5324,False,-0.9,-81.89,-20.975
SBAC,0.6103,0.6781,0.5274,False,0.2,-36.87,-26.438
SO,0.6102,0.6617,0.5473,False,0.2,-40.69,-65.7804
VTR,0.6099,0.6938,0.5074,False,-0.8,-51.32,-67.1014
HD,0.609,0.6604,0.5461,False,0.9,88.77,-16.689
KMI,0.6085,0.7077,0.4872,False,0.8,157.84,15.721
DHR,0.608,0.6803,0.5197,False,-0.8,-54.44,-56.5052
STE,0.6075,0.658,0.5456,False,-0.2,-37.33,-11.6875
KVUE,0.6068,0.6847,0.5115,False,0.6,45.46,-34.2601
PCG,0.6055,0.6508,0.55,False,1.2,57.88,-85.4094
CTSH,0.6053,0.6575,0.5414,False,-0.1,74.12,23.8215
CVS,0.605,0.55,0.5611,True,0.6,46.31,226.277
LYV,0.605,0.6564,0.5421,False,1.4,189.86,50.4269
AMT,0.6039,0.6704,0.5226,False,0.6,-50.81,43.3098
AOS,0.6038,0.6628,0.5318,False,-0.4,-35.12,-49.1516
XOM,0.6035,0.5541,0.5528,True,-0.7,-3.43,-46.9731
ARE,0.6021,0.6628,0.5279,False,-0.8,-39.55,-11.7136
MDT,0.602,0.6591,0.5322,False,-0.6,-61.69,-46.3096
TT,0.5997,0.6632,0.5222,False,0.1,123.23,-37.4981
SYY,0.5993,0.6528,0.5338,False,-0.3,9.01,-62.9944
DOC,0.5975,0.6615,0.5192,False,-0.8,-33.7,-13.1292
IT,0.5967,0.6665,0.5114,False,-2.0,11.27,-22.0116
COO,0.5961,0.6612,0.5165,False,-0.0,-27.93,-79.9645
BSX,0.5948,0.6405,0.5389,False,0.4,68.99,-47.5305
NOC,0.5946,0.659,0.5159,False,-1.8,-70.87,-29.7793
TSN,0.594,0.6354,0.5435,False,1.3,105.36,4.0743
NWS,0.5937,0.6358,0.5422,False,-0.4,100.04,-33.0465
KHC,0.5933,0.6605,0.5113,False,-0.6,-64.13,-56.5055
JKHY,0.5932,0.6681,0.5016,False,-0.9,-63.17,-76.4208
PWR,0.592,0.6474,0.5242,False,0.9,144.44,-30.7378
CARR,0.5919,0.6408,0.5321,False,-0.1,50.97,-31.8091
CPT,0.5918,0.6337,0.5405,False,0.4,77.85,-36.0954
RVTY,0.5917,0.6826,0.4805,False,-1.2,-50.09,26.1938
BAX,0.5915,0.6585,0.5096,False,-0.6,-86.21,13.4276
WEC,0.5912,0.63,0.5437,False,1.0,54.51,-74.9435
TAP,0.5895,0.6269,0.5439,False,0.5,141.04,-7.3368
SHW,0.589,0.6419,0.5243,False,0.3,105.65,-6.0373
TMO,0.5873,0.6835,0.4698,False,-1.0,-61.91,-26.0374
VRTX,0.5871,0.673,0.4821,False,-1.6,-45.12,72.3932
CAG,0.5869,0.6497,0.5101,False,-1.1,-82.79,-53.2928
HPE,0.5867,0.6675,0.4879,False,-0.7,80.62,90.8209
WBD,0.5861,0.6182,0.547,False,0.8,319.87,212.5976
FOX,0.5844,0.636,0.5213,False,0.9,151.5,4.6974
TSCO,0.5843,0.6214,0.5389,False,-0.5,61.29,2.5468
MAS,0.584,0.6328,0.5244,False,-0.3,-11.33,-21.3958
HRL,0.584,0.6277,0.5307,False,1.1,48.1,-32.4184
ANET,0.5836,0.6721,0.4755,False,-0.1,34.49,122.5229
EFX,0.5835,0.6692,0.4787,False,-0.8,-39.19,29.4817
