Ticker,Ensemble_Score,XGBoost_Prob,LSTM_Prob,Both_Bullish,RSI_14,Return_20d,Volatility_20d
CPAY,0.5084,0.4986,0.5204,False,0.9,161.02,19.0407
FDX,0.5078,0.534,0.4758,False,0.9,100.3,-56.5655
DRI,0.5072,0.4987,0.5176,False,0.5,95.89,34.0807
TRGP,0.5069,0.5198,0.4911,False,0.7,241.74,32.2611
CMG,0.5052,0.476,0.5411,False,0.5,97.74,35.2233
AON,0.5046,0.4915,0.5205,False,0.4,57.26,-60.4139
MA,0.5046,0.4761,0.5393,False,0.3,54.33,-67.1619
ON,0.5046,0.5534,0.4449,False,-0.1,-14.74,37.7716
HSIC,0.504,0.4685,0.5475,False,1.4,90.59,85.5861
FISV,0.5032,0.5369,0.4621,False,1.1,113.78,-41.9685
DASH,0.5032,0.5316,0.4685,False,0.6,155.86,23.0223
MCHP,0.503,0.5361,0.4625,False,-0.9,-102.43,77.448
IFF,0.5028,0.51,0.494,False,-0.5,-122.37,148.6938
HII,0.5027,0.514,0.489,False,-0.5,67.0,49.6107
KKR,0.5027,0.5322,0.4666,False,1.0,189.21,82.8208
VST,0.5026,0.5996,0.3841,False,0.5,308.02,273.5501
CRM,0.5025,0.4668,0.546,False,0.0,132.92,66.0866
ERIE,0.5021,0.562,0.4289,False,0.4,-47.45,76.5888
TKO,0.502,0.4872,0.52,False,1.6,191.36,20.6228
JBL,0.5017,0.5133,0.4874,False,-0.2,99.04,45.3336
DAL,0.5013,0.4972,0.5063,False,0.5,112.37,69.3012
NSC,0.5007,0.4979,0.5042,False,0.1,102.97,93.197
FAST,0.5007,0.5183,0.4792,False,-0.2,56.79,3.5157
SWK,0.5005,0.5369,0.4561,False,-0.2,-59.67,43.6427
PANW,0.5002,0.4918,0.5104,False,-0.4,65.72,29.6965
SNPS,0.4999,0.4636,0.5442,False,-0.3,78.97,73.6207
TMUS,0.4988,0.5384,0.4504,False,0.9,106.64,-72.418
AMAT,0.4979,0.5103,0.4826,False,-1.3,-67.91,107.94
POOL,0.497,0.4472,0.558,False,-0.0,29.83,50.5529
WAB,0.4967,0.5218,0.466,False,-0.2,56.19,-43.8606
GNRC,0.4966,0.5569,0.4228,False,-0.3,138.02,52.9008
NCLH,0.495,0.5191,0.4657,False,-0.5,47.65,61.0273
ETR,0.4946,0.4942,0.4951,False,1.5,-4.92,18.2793
AMZN,0.4945,0.4892,0.501,False,-0.3,112.3,72.8285
EXPE,0.4934,0.5042,0.4801,False,0.2,190.93,-3.0473
ABBV,0.4927,0.5259,0.4522,False,-1.2,-148.11,158.883
HCA,0.4918,0.5436,0.4285,False,-2.0,-130.37,-9.9168
LH,0.491,0.4707,0.5158,False,-0.3,45.82,-41.9123
BKNG,0.4904,0.4761,0.5078,False,0.7,108.88,-20.3319
AMGN,0.4896,0.5066,0.4688,False,-1.7,-156.11,73.1084
DG,0.4892,0.5906,0.3653,False,-0.2,-66.75,46.7562
EQIX,0.4889,0.442,0.5463,False,1.4,77.26,-26.4667
ULTA,0.4888,0.487,0.491,False,-0.2,31.76,108.7503
CSGP,0.4888,0.4336,0.5562,False,0.3,114.9,71.8921
ADSK,0.4884,0.4715,0.5092,False,-0.7,8.68,93.9036
USB,0.4875,0.4996,0.4728,False,1.0,97.72,54.1488
AKAM,0.4874,0.51,0.4598,False,0.5,-108.85,215.0442
TTD,0.486,0.5357,0.4253,False,0.0,57.46,147.3854
QCOM,0.486,0.4786,0.4951,False,-1.1,-56.53,63.4383
WYNN,0.4848,0.4559,0.5201,False,1.1,-42.66,178.4212
IQV,0.4843,0.4588,0.5154,False,-1.5,-54.32,43.978
GOOGL,0.484,0.4802,0.4888,False,-1.0,-40.49,27.7259
HOOD,0.4835,0.5528,0.3988,False,1.2,689.07,369.2492
GOOG,0.4828,0.48,0.4862,False,-1.0,-40.63,24.3871
PYPL,0.4824,0.4872,0.4766,False,0.6,87.11,2.0648
FCX,0.4822,0.4633,0.5052,False,-1.0,-47.17,34.4907
WAT,0.4815,0.4815,0.4816,False,-0.2,202.36,341.338
DVA,0.4812,0.4342,0.5386,False,1.1,199.81,-3.5825
PLTR,0.4797,0.5817,0.355,False,0.8,708.09,490.2081
COST,0.4777,0.4242,0.543,False,0.4,109.85,-40.88
PODD,0.4776,0.4758,0.4798,False,-0.3,156.45,89.5909
CSX,0.4766,0.4174,0.549,False,0.1,82.19,78.1632
V,0.4747,0.4042,0.5608,False,0.7,81.03,-51.099
PM,0.4736,0.4798,0.466,False,0.8,-22.17,6.881
CBRE,0.4724,0.5042,0.4336,False,0.3,56.85,19.9139
COHR,0.4717,0.5263,0.4051,False,-1.0,74.35,272.4071
TXN,0.4697,0.4663,0.4739,False,-1.5,-37.94,58.2201
INTU,0.4685,0.4245,0.5223,False,-1.0,36.1,103.8808
MCK,0.4685,0.4268,0.5194,False,0.4,279.81,119.0515
LII,0.4629,0.4706,0.4535,False,0.6,102.57,26.708
MPWR,0.4626,0.5099,0.4047,False,-2.0,-326.94,271.1594
LDOS,0.4622,0.4564,0.4692,False,-1.8,-141.24,209.9868
CEG,0.4616,0.5119,0.4001,False,0.4,-52.66,268.2623
FSLR,0.4604,0.5107,0.3988,False,-0.0,4.01,247.2675
WST,0.4596,0.3889,0.5461,False,-0.2,44.25,94.682
DELL,0.4572,0.4071,0.5185,False,-0.6,12.85,232.2796
GPN,0.4569,0.3888,0.5402,False,1.4,150.24,41.0281
PH,0.4568,0.4537,0.4605,False,0.0,107.39,60.6017
NVDA,0.4567,0.4811,0.4268,False,-1.0,23.98,82.0145
LULU,0.456,0.3951,0.5304,False,0.2,65.85,106.2503
MLM,0.4556,0.3922,0.533,False,-1.0,-9.97,5.8426
AVGO,0.4554,0.4445,0.4687,False,-2.3,-79.52,17.716
MU,0.4549,0.4657,0.4418,False,-1.6,-45.79,123.5664
MTB,0.4533,0.4639,0.4403,False,1.1,129.89,143.3786
KLAC,0.4532,0.5133,0.3797,False,-1.0,-56.62,25.3957
REGN,0.4495,0.5048,0.382,False,-2.1,-150.8,-38.0712
AMP,0.4483,0.4177,0.4858,False,1.2,127.56,94.2452
DLTR,0.4474,0.5553,0.3155,False,1.1,97.11,143.6509
EME,0.4462,0.432,0.4635,False,-0.4,146.11,44.6015
TDG,0.4442,0.4557,0.4301,False,-1.2,-70.66,84.8697
VMC,0.4425,0.4104,0.4816,False,-0.6,38.65,10.0161
MTD,0.4389,0.5117,0.3501,False,-0.9,-62.91,103.9797
INCY,0.4373,0.3982,0.4852,False,-1.4,-17.84,121.0799
UAL,0.4357,0.445,0.4243,False,1.9,258.03,115.3411
SNA,0.4276,0.3518,0.5202,False,0.9,125.78,-20.9267
CHTR,0.4196,0.4114,0.4296,False,-0.1,227.49,188.7054
FIX,0.4157,0.4689,0.3507,False,0.5,288.06,104.0712
GS,0.413,0.4181,0.4068,False,0.5,184.01,162.5042
RCL,0.411,0.3962,0.429,False,1.2,192.88,67.2983
URI,0.4078,0.4384,0.3703,False,-0.4,55.16,112.6795
LLY,0.4068,0.4538,0.3492,False,-0.8,-73.03,89.4193
GWW,0.4056,0.2859,0.552,False,-0.2,80.33,10.8909
TPL,0.4013,0.3753,0.4331,False,0.7,419.3,273.0923
FICO,0.3865,0.3006,0.4916,False,0.2,203.48,46.5237
CVNA,0.3663,0.4396,0.2768,False,0.6,37.91,102.4774
APP,0.3408,0.3833,0.2888,False,1.0,1154.81,1002.2472
AXON,0.3371,0.3776,0.2876,False,0.7,604.88,512.69
TSLA,0.3286,0.3247,0.3333,False,0.2,430.26,367.2141
COIN,0.2839,0.3533,0.199,False,0.1,753.95,827.0424
